ligandid,Canonical_Smiles
"(1R,3S,4S)-1,8-Epoxy-p-menthan-3-ol glucoside",CC1(C2CCC(O1)(CC2OC3C(C(C(C(O3)CO)O)O)O)C)C
"(3b,9R)-5-Megastigmene-3,9-diol 9-[apiosyl-(1-6)-glucoside]",CC1=C(C(CC(C1)O)(C)C)CCC(C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O
"(3beta,8beta)-3-Hydroxy-7(11)-eremophilen-12,8-olide",CC1C(CCC2C1(CC3=C(C(=O)OC3C2)C)C)O
(7'R)-(+)-Lyoniresinol 9'-glucoside,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)COC4C(C(C(C(O4)CO)O)O)O
(7'R)-(+)-Lyoniresinol 9'-glucoside,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)COC4C(C(C(C(O4)CO)O)O)O
(7'R)-(+)-Lyoniresinol 9'-glucoside,COC1=CC(=CC(=C1O)OC)C2C(C(CC3=CC(=C(C(=C23)OC)O)OC)CO)COC4C(C(C(C(O4)CO)O)O)O
1-Hexanol arabinosylglucoside,CCCCCCOC1C(C(C(C(O1)COC2C(C(C(O2)CO)O)O)O)O)O
1-Hexanol arabinosylglucoside,CCCCCCOC1C(C(C(C(O1)COC2C(C(C(O2)CO)O)O)O)O)O
"1-Hydroxyhexane-1,2,6-tricarboxylate",C(CCC(=O)O)CC(C(C(=O)O)O)C(=O)O
"1-Hydroxypentane-1,2,5-tricarboxylate",C(CC(C(C(=O)O)O)C(=O)O)CC(=O)O
1-O-Galloyl-beta-D-glucose,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C(C(C(C(O2)CO)O)O)O
1-Pyrroline-4-hydroxy-2-carboxylate,C1C(CN=C1C(=O)O)O
"1,2,10-Trihydroxydihydro-trans-linalyl oxide 7-O-beta-D-glucopyranoside",CC(C)(C1CCC(O1)(CO)C(CO)O)OC2C(C(C(C(O2)CO)O)O)O
"10-hydroperoxy-8E,12Z-octadecadienoic acid",CCCCCC=CCC(C=CCCCCCCC(=O)O)OO
10-Hydroxymorroniside,COC(=O)C1=COC(C2C1CC(OC2CO)O)OC3C(C(C(C(O3)CO)O)O)O
11-O-Demethyl-17-O-deacetylvindoline,CCC12C=CCN3C1C4(CC3)C(C(C2O)(C(=O)OC)O)N(C5=C4C=CC(=C5)O)C
11-O-Demethylpradinone I,CC1=CC2=C(C3=C(C4=C(C=C3C(C2O)O)C(=O)C5=C(C4=O)C=C(C=C5O)O)O)C(=C1C(=O)O)O
12-epi-Scalaradial,CC(=O)OC1CC2C3(CCCC(C3CCC2(C4C1(C(C(=CC4)C=O)C=O)C)C)(C)C)C
13C-Cinnamic acid (IS),
"2-(4-Hydroxyphenyl)-5,6,7,8-tetrahydroxy-4H-1-benzopyran-4-one",C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)O)O)O)O)O
"2-Amino-4,6-dinitrotoluene",CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N
2-C-Methyl-D-erythritol 4-phosphate,CC(CO)(C(COP(=O)(O)O)O)O
2-Hydroxy-5-methylquinone,CC1=CC(=O)C(=O)C=C1O
"2-Hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate",C1=CC=C(C(=C1)O)OC(=O)C=CC=C(C(=O)O)O
2-Hydroxyethyl methacrylate,CC(=C)C(=O)OCCO
2-Methyl-4-chlorophenoxybutyric acid,CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
2-Methyl-4-chlorophenoxybutyric acid,CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
2-Methyl-4-chlorophenoxybutyric acid,CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
2-Methyl-4-chlorophenoxybutyric acid,CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
"2,2',3-Trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl",COC1=CC(=CC(=C1O)C2=C(C(=CC(=C2)C(=O)O)O)O)C(=O)O
"2,3-Butanediol glucoside",CC(C(C)OC1C(C(C(C(O1)CO)O)O)O)O
"2,4-Dichloro-3-oxoadipate",C(C(C(=O)C(C(=O)[O-])Cl)Cl)C(=O)[O-]
"2,6-Dihydroxypseudooxynicotine",CNCCCC(=O)C1=C(NC(=O)C=C1)O
"2',7-Dihydroxy-4'-methoxy-8-prenylflavan 2',7-diglucoside",CC(=CCC1=C(C=CC2=C1OC(CC2)C3=C(C=C(C=C3)OC)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)C
"3-(2-Methylpropanoyloxy)-8-(2-methylbutanoyloxy)-9,10-epoxy-p-mentha-1,3,5-triene",CCC(C)C(=O)OCC1(CO1)C2=C(C=C(C=C2)C)OC(=O)C(C)C
"3-(3,5-Dihydroxyphenyl)-2-propenoic acid",C1=C(C=C(C=C1O)O)C=CC(=O)O
"3-(3,5-Dihydroxyphenyl)-2-propenoic acid",C1=C(C=C(C=C1O)O)C=CC(=O)O
3-Dehydro-L-threonate,C(C(=O)C(C(=O)[O-])O)O
3-Furoic acid,C1=COC=C1C(=O)O
3-Furoic acid,C1=COC=C1C(=O)O
3-O-Feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O
3-O-Protocatechuoylceanothic acid,CC(=C)C1CCC2(C1C3CCC4C(C3(CC2)C)(CCC5C4(C(C(C5(C)C)OC(=O)C6=CC(=C(C=C6)O)O)C(=O)O)C)C)C(=O)O
"3,4-Dicaffeoyl-1,5-quinolactone",C1C2C(C(CC1(C(=O)O2)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC(=O)C=CC4=CC(=C(C=C4)O)O
"3,4-Dicaffeoyl-1,5-quinolactone",C1C2C(C(CC1(C(=O)O2)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)OC(=O)C=CC4=CC(=C(C=C4)O)O
"3,4-Dihydroxybenzoic acid",C1=CC(=C(C=C1C(=O)O)O)O
"3,5-Dihydroxy-phenylglycine",C1=C(C=C(C=C1O)O)C(C(=O)O)N
"3,6'-Disinapoyl sucrose",COC1=CC(=CC(=C1O)OC)C=CC(=O)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)OC(=O)C=CC4=CC(=C(C(=C4)OC)O)OC)CO)O)O)O
"3,9-Dimethyluric acid",CN1C2=C(C(=O)NC(=O)N2C)NC1=O
3'-Amino-3'-deoxy-AMP,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)N)O)N
3'-Amino-3'-deoxy-AMP,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)N)O)N
4-Acetamido-2-amino-6-nitrotoluene,CC1=C(C=C(C=C1[N+](=O)[O-])NC(=O)C)N
"4-Feruloyl-1,5-quinolactone",COC1=C(C=CC(=C1)C=CC(=O)OC2C(CC3(CC2OC3=O)O)O)O
4-O-beta-D-Glucosyl-sinapate,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CC(=O)[O-]
4-O-beta-D-Glucosyl-sinapate,COC1=CC(=CC(=C1OC2C(C(C(C(O2)CO)O)O)O)OC)C=CC(=O)[O-]
4-O-Caffeoylshikimic acid,C1C(C(C(C=C1C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O
4-O-Caffeoylshikimic acid,C1C(C(C(C=C1C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O
4-O-Caffeoylshikimic acid,C1C(C(C(C=C1C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O
4-O-Caffeoylshikimic acid,C1C(C(C(C=C1C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O
4-O-Feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2C(CC(CC2O)(C(=O)O)O)O)O
"4,5-Chrysenedicarboxylate",C1=CC=C2C3=C(C(=CC2=C1)C(=O)O)C4=C(C=CC=C4C(=O)O)C=C3
"4,5-Chrysenedicarboxylate",C1=CC=C2C3=C(C(=CC2=C1)C(=O)O)C4=C(C=CC=C4C(=O)O)C=C3
"4,7-Didehydroneophysalin B",CC12CC3C4(C56C1C(C7C=CC8=CC=CC(=O)C8(C7CCC5(C(=O)O4)O)C)(C(=O)O6)OCC2C(=O)O3)C
4'-O-methyl-(-)-epicatechin-3'-O-beta-glucuronide,COCC1=C(C=C(C=C1)C2C(CC3=C(C=C(C=C3O2)O)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O
5-O-Feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O
5-O-Feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O
5-O-Feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)O)O
5'-O-beta-D-Glucosylpyridoxine,CC1=NC=C(C(=C1O)CO)COC2C(C(C(C(O2)CO)O)O)O
"6-(2-Carboxyethyl)-7-hydroxy-2,2-dimethyl-4-chromanone glucoside",CC1(CC(=O)C2=C(O1)C=C(C(=C2)CCC(=O)O)OC3C(C(C(C(O3)CO)O)O)O)C
"6-[2,3-Dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione",COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C(C(=C1)O)C(CO)C(CO)O
"6-[2,3-Dihydroxy-1-(hydroxymethyl)propyl]-1,2-dihydro-7-hydroxy-9-methoxy-cyclopenta[c][1]benzopyran-3,4-dione",COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C(C(=C1)O)C(CO)C(CO)O
6-APA,CC1(C(N2C(S1)C(C2=O)N)C(=O)O)C
6-Gingerol,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O
6-O-Glucosylmaltose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O)O
6'-Methoxypolygoacetophenoside,COC1=C(C(C)=O)C(O)=C(OC2OC(CO)C(O)C(O)C2O)C(O)=C1
"6S,9R-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1-6)-glucoside]",CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O)O)(C)C
7-Hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-carboxylic acid 7-glucoside,CC1=CC(=O)C2=C(C=C(C=C2O1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)O
7-Hydroxy-6-methoxy-alpha-pyrufuran,COC1=C(C=CC2=C1OC3=C2C(=C(C(=C3OC)OC)O)OC)O
7-Hydroxy-6-methoxy-alpha-pyrufuran,COC1=C(C=CC2=C1OC3=C2C(=C(C(=C3OC)OC)O)OC)O
7-Hydroxychlorophyll a,CCC1=C(C2=NC1=CC3=C(C4=C(C(=C([O-])OC)C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C4=N3)[O-])C)CO.[Mg+2]
"7,8-Dihydrovomifoliol 9-[apiosyl-(1-6)-glucoside]",CC1=CC(=O)CC(C1(CCC(C)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O)O)(C)C
"9alpha-Fluoro-11beta,17alpha,21-trihydroxy-6alpha-methylpregna-1,4-diene-3,20-dione",CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)CO)O
Acetyljujuboside B,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C7C(CC(OC78CC6(C5(CCC4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)OC9C(C(C(C(O9)COC(=O)C)O)O)OC1C(C(C(CO1)O)O)O)O)O)O
Acetyljujuboside B,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C7C(CC(OC78CC6(C5(CCC4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)OC9C(C(C(C(O9)COC(=O)C)O)O)OC1C(C(C(CO1)O)O)O)O)O)O
Acuminoside,CC(=CCCC(=CCOC1C(C(C(C(O1)COC2C(C(CO2)(CO)O)O)O)O)O)C)C
Acutoside B,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C7(CCC(C(C7CCC6(C5(CC4)C)C)(C)C)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)(C)C)O)O)O)O)OC1C(C(C(CO1)O)O)O
Aesculin,C1=CC(=O)OC2=CC(=C(C=C21)OC3C(C(C(C(O3)CO)O)O)O)O
Agavasaponin D,CC1CCC2(C(C3C(O2)CC4C3(C(=O)CC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(C(O9)CO)O)OC2C(C(C(C(O2)C)O)O)O)OC2C(C(C(CO2)O)O)O)O)O)O)O)C)C)C)OC1
Akeboside Ste,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(C(COC3OC4CCC5(C(C4(C)C)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)O)C)C)C)O)O)O)O)O)O)O)O
Akeboside Stf,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(C(COC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)O)C)C)C)O)O)O)O)O)O)O)O
Akeboside Stf,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3C(C(COC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)O)C)C)C)O)O)O)O)O)O)O)O
alpha-(p-Methoxyphenyl)-2-pyridineacrylonitrile,COC1=CC=C(C=C1)C(=CC2=CC=CC=N2)C#N
Apimaysin,CC1C(C(C(C(O1)OC2C(C(=O)C(OC2C3=C(C4=C(C=C3O)OC(=CC4=O)C5=CC=C(C=C5)O)O)C)O)O)O)O
Arabinosylhypoxanthine,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
Araliasaponin I,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
Araliasaponin I,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
Araliasaponin III,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C
Araliasaponin III,CC1(CCC2(C(C1)C3=CCC4C5(CCC(C(C5CCC4(C3(CC2O)C)C)(C)C)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)C)C(=O)OC9C(C(C(C(O9)CO)O)O)O)C
Ascorbic acid,C(C(C1C(=C(C(=O)O1)O)O)O)O
Asiatic/Rotundic acid,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)O
Asiaticoside,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O
Asiaticoside,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O
Asiaticoside B,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CC(C(C(C8C(CC7(C6(CC5)C)C)O)(C)CO)O)O)C)(C)C)O)O)O)CO)O)O)O
Asparagoside F,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(CO9)O)O)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)C)C)C)OC1
Aucubin,C1=COC(C2C1C(C=C2CO)O)OC3C(C(C(C(O3)CO)O)O)O
Avenacoside A,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)OC19CCC(O9)(C)COC1C(C(C(C(O1)CO)O)O)O
Avenacoside B,CC1C2C(CC3C2(CCC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)OC11CCC(O1)(C)COC1C(C(C(C(O1)CO)O)O)O
bayogenin 3-O-cellobioside,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C
bayogenin 3-O-cellobioside,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)O)O)O)O)O)C)C)C2C1)C)C(=O)O)C
Benzal chloride,C1=CC=C(C=C1)C(Cl)Cl
Benzyl beta-primeveroside,C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3=CC=CC=C3)O)O)O)O)O)O
Benzyl beta-primeveroside,C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3=CC=CC=C3)O)O)O)O)O)O
beta-D-Glc-(1-4)-alpha-L-Rha-(1-3)-beta-D-Glc,CC1C(C(C(C(O1)OC2C(C(OC(C2O)O)CO)O)O)O)OC3C(C(C(C(O3)CO)O)O)O
Botrydial,CC1CC(C2C(CC(C2(C1C=O)O)(C)C=O)(C)C)OC(=O)C
Bruceantin,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C(C)C)(OC5)C(=O)OC)O)O)C)O
Butocarboxim,CC(C(=NOC(=O)NC)C)SC
Byakangelicin,CC(C)(C(COC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)O)O
Caffeoquinone,C1=CC(=O)C(=O)C=C1C=CC(=O)O
Caffeoyl beta-D-glucose,C1=CC(=C(C=C1C=CC(=O)C2(C(C(C(C(O2)CO)O)O)O)O)O)O
Caffeoyl beta-D-glucose,C1=CC(=C(C=C1C=CC(=O)C2(C(C(C(C(O2)CO)O)O)O)O)O)O
Caffeoyl-feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
Caffeoyl-feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
Caffeoyl-feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
Caffeoyl-feruloylquinic acid,COC1=C(C=CC(=C1)C=CC(=O)OC2CC(CC(C2O)O)(C(=O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O
Caffeoylquinic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
Caffeoylsinapoylquinic acid,COC1=CC(=CC(=C1O)OC)C=CC(=O)OC2C(CC(CC2OC(=O)C=CC3=CC(=C(C=C3)O)O)(C(=O)O)O)O
Calenduloside G methyl ester,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)O)C
Calenduloside G methyl ester,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)O)C
Calenduloside H methyl ester,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
Calenduloside H methyl ester,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)OC)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C
Cefadroxil,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
Ceposide D,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(CO7)O)O)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)CO)O)OC2C(C(C(C(O2)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)OC1
Ceposide D,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(CO7)O)O)OC8C(C(C(C(O8)C)OC9C(C(C(C(O9)CO)O)OC2C(C(C(C(O2)CO)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)OC1
Chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
Chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
Chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
Chlorogenic acid,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
Chlorogenic acid-crypto,C1C(C(C(CC1(C(=O)O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O
Chlorogenic acid-neo,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O
Cinchonain Ib,C1C(C(OC2=C1C(=CC3=C2C(CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O
Cinegalline,COC1=C(C=C(C=C1O)C(=O)OC2CCN3CC4CC(C3C2)CN5C4CCCC5=O)O
cis-3-Hexenyl b-primeveroside,CCC=CCCOC1C(C(C(C(O1)COC2C(C(C(CO2)O)O)O)O)O)O
cis-p-Coumaric acid,C1=CC(=CC=C1C=CC(=O)O)O
Citrusin B,COC1=CC(=CC(=C1OC(CO)C(C2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC)O)OC)C=CCO
Citrusin B,COC1=CC(=CC(=C1OC(CO)C(C2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)OC)O)OC)C=CCO
Citrusin F,COC(=O)CCC1=CC(=C(C=C1)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O)O
Congmuyenoside A,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C2C1)C)C(=O)O)C
Congmuyenoside B,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(C(O6)CO)O)OC7C(C(C(C(O7)CO)O)OC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C2C1)C)C(=O)O)C
Corchoionol C 9-glucoside,CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)CO)O)O)O)O)(C)C
